test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
711,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getDateFormat_0_basic.dot,1,1,Constant,1.,1.
712,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getDividerPaint_0_basic.dot,1,1,Constant,1.,1.
713,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getDividerStroke_0_basic.dot,1,1,Constant,1.,1.
714,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getDrawDividers_0_basic.dot,1,1,Constant,1.,1.
715,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getLabelFont_0_basic.dot,1,1,Constant,1.,1.
716,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getLabelPaint_0_basic.dot,1,1,Constant,1.,1.
717,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getPadding_0_basic.dot,1,1,Constant,1.,1.
718,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_getPeriodClass_0_basic.dot,1,1,Constant,1.,1.
719,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_hashCode_0_basic.dot,1,1,Constant,1.,1.
720,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_<init>_0_basic.dot,8,8,Constant,8.,8.
721,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_readObject_0_basic.dot,1,1,Constant,1.,1.
722,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxisLabelInfo_writeObject_0_basic.dot,1,1,Constant,1.,1.
723,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_readObject_0_basic.dot,1,1,Constant,1.,1.
724,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_refreshTicks_0_basic.dot,1,1,Constant,1.,1.
725,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_reserveSpace_0_basic.dot,9,98,Polynomial,24.*n,174. + 24.*n
726,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setAutoRangeTimePeriodClass_0_basic.dot,2,2,Constant,2.,2.
727,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setFirst_0_basic.dot,2,2,Constant,2.,2.
728,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setLabelInfo_0_basic.dot,1,1,Constant,1.,1.
729,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setLast_0_basic.dot,2,2,Constant,2.,2.
730,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMajorTickTimePeriodClass_0_basic.dot,2,2,Constant,2.,2.
731,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickMarkInsideLength_0_basic.dot,1,1,Constant,1.,1.
732,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickMarkOutsideLength_0_basic.dot,1,1,Constant,1.,1.
733,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickMarkPaint_0_basic.dot,2,2,Constant,2.,2.
734,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickMarkStroke_0_basic.dot,2,2,Constant,2.,2.
735,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickMarksVisible_0_basic.dot,1,1,Constant,1.,1.
736,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setMinorTickTimePeriodClass_0_basic.dot,2,2,Constant,2.,2.
737,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setRange_0_basic.dot,1,1,Constant,1.,1.
738,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_setTimeZone_0_basic.dot,2,2,Constant,2.,2.
739,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_valueToJava2D_0_basic.dot,5,5,Constant,5.,5.
740,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_PeriodAxis_writeObject_0_basic.dot,1,1,Constant,1.,1.
741,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_QuarterDateFormat_<clinit>_0_basic.dot,1,1,Constant,1.,1.
742,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_QuarterDateFormat_equals_0_basic.dot,5,5,Constant,5.,5.
743,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_QuarterDateFormat_format_0_basic.dot,2,2,Constant,2.,2.
744,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_QuarterDateFormat_<init>_0_basic.dot,2,2,Constant,2.,2.
745,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_QuarterDateFormat_parse_0_basic.dot,1,1,Constant,1.,1.
746,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_access$000_0_basic.dot,1,1,Constant,1.,1.
747,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_access$100_0_basic.dot,1,1,Constant,1.,1.
748,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_access$200_0_basic.dot,1,1,Constant,1.,1.
749,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_access$300_0_basic.dot,1,1,Constant,1.,1.
750,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_access$400_0_basic.dot,1,1,Constant,1.,1.
751,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_addBaseTimelineException_0_basic.dot,1,1,Constant,1.,1.
752,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_addBaseTimelineExclusions_0_basic.dot,7,15,Exponential,14.94*1.47^n,7.38 + 0.16*0.8300000000000001^n + 14.94*1.47^n + 0.67*n
753,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_addException_0_basic.dot,2,2,Constant,2.,2.
754,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_addExceptions_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
755,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_binarySearchExceptionSegments_0_basic.dot,6,6,Exponential,13.39*1.11^n,4. + 0.07*0.85^n + 0.27*1.02^n + 0.97*1.09^n + 13.39*1.11^n
756,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_<clinit>_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
757,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_clone_0_basic.dot,1,1,Constant,1.,1.
758,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_containsDomainRange_0_basic.dot,1,1,Constant,1.,1.
759,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_axis_SegmentedTimeline_containsDomainValue_0_basic.dot,1,1,Constant,1.,1.
